Ciudad;Año;Mes;PM2.5;PM10;NO2;SO2;O3;Temperatura;Humedad;Indice_AQI
Pereira;2022;4;6.958.455.256.050.780;285.945.291.097.321;31.288.138.283.327.600;7.663.596.899.158.900;25.017.448.282.415.400;25.377.006.639.755.000;4.799.761.045.092.140;7.489.985.326.212.310
Bucaramanga;2020;6;19.766.279.305.241.800;708.235.903.389.787;2.450.495.353.934.930;13.018.945.353.658.700;289.914.790.568.704;26.903.359.978.439.300;7.056.958.980.809.760;13.718.903.345.990.300
Cali;2016;4;4.733.859.381.800.720;8.027.350.431.586.610;3.374.754.676.709.600;19.291.586.774.715.700;4.516.101.047.955.360;23.698.667.613.149.700;6.552.352.875.458.860;11.323.936.025.066.000
Cúcuta;2015;7;15.326.840.509.444.900;5.677.024.229.436.960;21.773.922.271.983.500;3.270.597.926.199.770;5.0;13.692.329.650.496.700;8.010.831.676.613.140;13.536.589.721.538.500
Medellín;2019;12;37.360.198.515.096.100;7.149.256.019.633.690;2.782.377.751.199.510;10.053.486.035.626.100;26.008.266.642.650.600;22.832.645.865.512.300;6.276.587.803.364.150;9.520.126.118.980.260
Pereira;2023;12;4.964.759.883.594.740;5.745.926.981.700.310;15.837.069.529.954.300;14.754.610.592.605.800;25.602.238.482.872.300;24.042.446.800.320.000;8.799.654.666.555.220;4.765.204.258.883.280
Santa Marta;2022;11;5.0;5.540.854.133.559.210;35.394.413.922.305.900;1.653.517.715.977.430;5.076.317.731.267.430;1.660.887.727.904.610;58.796.747.417.031.500;18.975.646.988.495.400
Cali;2018;1;31.926.012.886.375.800;6.183.160.299.737.360;2.790.604.697.261.790;8.914.471.264.891.140;2.443.157.087.103.820;21.367.230.783.203.300;8.058.700.992.058.050;7.589.423.777.406.760
Cartagena;2019;5;26.551.853.989.360.600;5.578.616.015.065.970;4.482.513.063.697.870;1.530.414.343.492.940;11.511.994.425.704.400;7.494.646.854.780.410;6.000.379.434.007.870;5.356.308.453.170.430
Bucaramanga;2019;10;24.470.640.525.573.100;8.367.236.623.872.660;4.892.298.383.669.750;10.361.339.548.844.400;5.0;2.032.950.912.029.090;782.268.174.283.731;12.867.955.048.391.700
Santa Marta;2020;12;4.077.818.978.389.030;5.530.096.246.329.240;3.263.319.451.433.140;2.342.925.088.783.840;26.852.246.058.056.100;19.818.120.285.918.400;5.478.031.319.958.440;6.219.397.390.085.650
Bucaramanga;2017;10;5.181.028.559.633.890;5.194.179.985.904.140;25.684.253.112.079.000;9.959.617.317.608.150;264.462.585.503.537;2.901.119.677.806.670;6.963.829.235.242.870;8.430.385.655.400.630
Barranquilla;2019;4;3.300.081.927.156.260;10.535.857.333.679.000;15.539.354.878.744.300;6.905.459.376.892.240;2.706.055.700.448.800;1.898.388.448.685.650;8.983.137.385.241.240;10.498.293.414.086.800
Cali;2016;11;380.822.964.134.003;892.148.002.364.807;34.047.498.032.588.200;14.591.154.402.388.700;3.303.429.895.078.020;20.668.214.707.022.600;7.172.507.800.212.610;9.426.722.204.832.060
Barranquilla;2024;7;36.714.631.295.888.700;3.276.973.278.681.590;2.710.284.563.895.220;9.871.623.698.227.560;19.447.238.121.435.600;21.603.856.113.615.900;8.774.615.771.676.470;8.546.347.015.008.690
Bogotá;2015;9;3.502.705.259.534.620;5.470.463.420.294.930;3.038.034.839.154.460;36.104.344.672.176.400;51.490.272.161.351.000;190.483.998.803.481;6.960.588.280.108.870;16.358.757.770.337.400
Barranquilla;2015;5;18.659.860.434.318.400;7.484.925.943.445.420;42.297.873.874.562.400;25.014.259.454.572.000;29.600.471.902.421.900;25.598.957.109.160.700;62.424.261.095.347.800;9.554.142.705.805.660
Bogotá;2024;4;5.162.666.902.584.330;7.647.510.134.462.980;1.675.576.711.336.650;9.895.100.212.927.740;4.543.716.555.673.780;12.038.039.930.715.500;7.257.973.741.843.670;6.402.295.019.057.390
Bogotá;2021;9;3.942.793.052.238.250;4.019.014.268.526.210;15.756.958.315.186.600;1.0;9.841.209.102.135.450;2.768.288.352.072.060;7.927.594.983.824.950;13.907.811.250.422.000
Santa Marta;2016;5;40.923.222.350.038.600;9.317.130.985.644.640;22.635.740.616.293.100;7.409.173.550.860.490;1.998.564.419.889.750;21.940.609.408.420.600;41.416.901.684.977.600;7.109.849.577.122.850
Bucaramanga;2018;9;22.902.355.564.616.200;8.650.448.838.363.250;3.321.201.149.751.820;11.155.151.628.714.200;38.235.777.660.530.700;28.508.235.673.977.100;7.783.427.566.538.010;9.563.732.328.401.200
Cartagena;2019;8;2.811.169.403.016.130;7.963.803.264.080.670;3.054.867.240.214.480;4.714.917.479.723.200;272.812.286.918.648;8.263.839.289.428.640;5.590.247.240.758.000;6.381.493.212.141.000
Barranquilla;2021;4;3.235.798.703.433.830;9.713.456.981.424.240;16.043.114.883.042.200;14.969.935.784.526.600;171.218.473.515.244;9.818.853.396.944.460;52.173.433.255.589.400;10.845.734.021.705.900
Cali;2016;11;11.988.129.598.267.200;7.904.579.985.141.830;3.256.552.900.702.480;1.595.503.274.875.340;79.364.412.162.710.200;20.540.107.202.072.400;7.807.865.000.242.650;10.159.121.090.430.600
Bogotá;2020;11;9.679.485.122.034.820;7.897.161.758.503.690;12.987.871.811.067.300;4.916.495.236.240.240;3.879.844.406.688.430;24.529.576.940.002.800;9.007.754.391.219.200;9.883.962.988.557.890
Bucaramanga;2015;7;25.988.781.040.421.400;10.115.358.543.644.400;16.622.583.256.511.400;8.509.779.129.017.560;3.781.922.705.938.620;19.225.336.419.984.100;7.324.609.277.219.220;10.600.072.674.726.500
Medellín;2021;5;4.283.781.149.663.580;9.202.439.161.455.410;23.845.426.828.108.100;14.973.465.756.607.300;3.291.984.829.703.070;24.919.229.150.412.500;49.668.889.722.203.500;13.271.205.713.306.500
Pereira;2023;10;25.202.939.151.050.800;5.316.985.082.176.930;194.656.875.402.478;9.993.462.328.724.550;24.049.125.710.569;26.906.548.787.214.800;5.994.159.234.566.450;1.281.237.695.885.840
Santa Marta;2019;4;197.179.220.361.393;826.639.035.734.383;3.389.859.488.650.930;3.027.607.109.504.900;16.642.919.668.442.300;2.532.999.773.510.680;6.372.599.237.711.320;5.842.370.932.535.080
Cartagena;2019;5;22.779.715.201.434.900;56.714.642.700.828.300;27.863.784.830.010.900;9.283.394.657.178.230;2.936.422.152.123.950;22.516.342.521.900.400;7.294.145.410.343.100;7.301.386.947.852.700
Manizales;2018;5;2.816.986.365.282.030;8.008.309.101.900.550;4.265.561.177.627.260;5.735.358.388.520.800;14.216.176.756.255.100;2.247.801.424.827.020;689.218.022.749.556;13.697.490.469.115.700
Santa Marta;2017;11;29.692.115.557.698.400;7.953.227.014.039.620;22.528.146.346.455.800;15.540.989.482.129.400;20.980.991.033.224.900;1.892.602.456.805.800;7.742.844.705.165.250;6.868.679.114.706.610
Medellín;2023;9;6.748.282.178.309.830;4.233.065.375.088.020;23.777.978.489.592.500;13.029.660.471.622.900;45.135.006.976.794.500;21.723.128.378.981.100;84.999.592.459.644;11.967.589.138.546.200
Pereira;2019;12;50.819.309.427.309.700;675.630.877.737.793;3.710.382.609.061.760;843.121.527.367.186;7.789.970.842.422.970;16.878.845.563.826.300;7.517.116.867.286.430;13.357.930.280.995.300
Medellín;2022;9;5.037.161.168.422.590;7.530.514.047.160.800;24.090.791.968.762.000;10.710.740.062.650.200;3.813.033.392.280.440;1.807.635.266.319.470;8.347.121.038.867.150;3.433.678.809.967.120
Barranquilla;2023;6;52.528.705.464.100.700;6.127.419.618.011.680;39.940.052.477.075.400;3.459.392.115.137.560;4.793.035.141.738.990;24.571.820.997.733.700;6.595.434.533.462.930;8.374.645.077.199.450
Bogotá;2019;4;2.001.768.695.998.920;762.941.988.478.152;30.408.282.103.844.900;6.231.112.707.211.940;3.979.511.663.259.180;19.685.594.342.343.200;100.0;13.260.136.536.772.800
Cartagena;2024;2;16.664.530.775.191.400;8.611.795.554.002.130;5.0;17.766.395.938.462.400;34.778.554.541.117.800;18.312.190.529.153.300;7.829.770.890.754.380;9.412.104.515.889.430
Cúcuta;2023;3;1.839.694.562.698.910;6.938.813.871.538.480;3.677.570.414.149.460;10.267.573.262.898.300;2.443.712.584.594.650;24.246.155.065.924.900;802.607.294.718.046;8.383.299.046.296.960
Bogotá;2016;2;55.017.592.000.067.500;7.449.198.953.416.510;34.127.268.131.198.000;14.650.429.023.956.800;22.249.343.346.791.800;23.899.498.284.652.000;9.636.521.215.581.750;13.324.459.123.881.200
Cúcuta;2023;5;26.792.123.166.762.600;976.684.815.711.195;34.513.326.061.105.400;11.160.065.442.040.100;5.0;20.923.502.072.756.900;7.132.268.204.288.160;14.415.623.023.874.100
Pereira;2018;6;16.229.657.266.410.600;7.946.393.166.450.450;5.890.216.214.547.410;1.657.140.921.514.760;30.444.080.163.207.700;21.255.322.846.391.800;6.031.737.532.899.570;7.286.361.023.000.000
Bucaramanga;2020;11;28.535.056.996.702.800;7.401.648.579.348.940;18.370.100.387.289.500;1.0;25.173.114.615.250.800;24.079.739.449.399.500;895.965.106.887.841;17.068.523.122.320.800
Manizales;2020;5;31.420.917.024.280.500;5.083.841.240.717.270;19.112.951.664.432.300;9.058.912.079.904.960;21.623.587.095.817.100;26.844.785.581.919.400;9.047.714.449.901.890;28.631.330.688.675.100
Cali;2020;2;39.026.199.105.418.400;8.342.052.022.777.690;16.588.786.324.396.000;18.223.908.231.081.900;2.975.902.765.345.180;23.005.428.295.768.800;7.230.259.457.586.870;3.971.546.615.298.030
Bogotá;2016;12;3.876.426.531.068.060;7.660.299.898.783.870;4.241.922.531.893.930;1.478.086.717.780.320;30.748.433.762.455.800;16.039.830.448.114.400;9.639.441.306.766.300;8.182.481.812.979.630
Cartagena;2021;5;22.577.291.541.897.300;9.567.478.867.402.810;24.882.321.621.763.600;16.626.861.293.950.900;22.373.312.431.595.300;20.892.862.536.182.700;6.875.071.286.132.310;8.661.882.268.217.670
Medellín;2020;9;45.284.845.887.705.600;7.093.757.086.606.620;24.634.390.573.708.200;9.966.177.031.717.540;49.356.969.401.721.400;19.964.250.811.032.900;8.398.424.423.684.720;8.844.941.810.138.690
Cartagena;2015;4;25.412.096.993.747.600;3.367.466.999.732.000;30.520.083.103.157.700;7.314.467.922.933.080;3.876.723.334.934.900;1.673.506.946.812.770;9.273.298.595.130.500;7.861.979.383.506.430
Pereira;2016;12;3.265.585.494.942.430;35.997.582.623.434.700;3.069.301.667.889.380;4.864.177.701.560.350;40.755.342.700.479.300;24.489.663.828.010.500;7.147.493.523.134.220;7.097.556.509.905.260
Cúcuta;2021;10;45.301.611.057.550.300;8.471.361.527.519.460;5.0;4.515.359.541.692.440;2.876.036.659.632.700;24.874.262.896.976.600;7.685.197.164.754.320;9.118.750.378.660.960
Medellín;2015;2;2.537.267.894.083.480;5.859.612.804.603.690;18.536.424.628.506.300;14.035.302.811.042.500;3.613.482.878.713.370;25.631.042.108.529.700;8.539.022.666.580.640;7.640.614.408.881.430
Cali;2015;3;26.459.728.646.282.900;7.873.535.502.220.990;10.872.114.222.087.200;1.256.605.525.210.420;19.251.544.792.817.200;1.704.543.522.958.950;6.450.722.637.681.670;12.727.710.952.012.900
Cali;2015;3;4.387.502.074.539.690;7.228.465.289.004.710;29.003.060.931.548.100;96.671.327.533.482;3.799.510.248.300.360;22.787.254.685.395.800;57.787.724.267.222.600;10.122.457.859.193.400
Bogotá;2022;9;2.213.400.235.092.470;6.666.320.664.612.150;22.111.075.856.659.500;12.540.953.274.258.400;27.547.168.712.235.100;21.968.623.835.779.300;8.999.472.715.266.310;9.115.348.820.687.850
Pereira;2018;4;2.922.811.964.593.890;6.807.277.428.823.550;25.153.875.645.012.600;10.712.258.795.260.300;17.736.197.579.828.000;2.353.701.546.670.940;746.014.875.199.314;9.711.525.380.287.400
Bucaramanga;2018;1;4.333.613.267.064.330;5.269.220.989.909.540;5.0;14.811.088.506.997.400;29.726.799.945.369.200;22.648.632.457.490.900;6.241.615.690.003.680;14.456.645.467.883.900
Pereira;2016;1;6.581.138.662.153.960;6.968.444.622.200.650;2.190.147.775.309.500;1.476.343.377.454.080;26.495.351.637.001.300;2.193.727.027.541.840;7.141.175.157.521.100;8.066.373.945.875.420
Cúcuta;2015;7;44.081.067.571.441.100;5.831.013.134.411.200;3.615.130.251.832.810;4.670.629.497.575.780;57.876.831.926.651;21.336.381.202.627.200;7.762.798.443.949.810;4.906.434.297.289.380
Cartagena;2024;7;4.208.959.644.485.010;62.554.869.597.485.900;3.909.449.483.102.160;1.136.822.993.734.890;3.522.473.098.175.890;275.342.030.501.276;4.646.050.992.656.570;6.090.541.018.793.140
Cali;2023;2;4.296.202.375.509.090;6.352.701.910.581.670;32.188.634.195.407;165.566.624.902.959;4.895.660.960.937.860;1.769.092.996.240.350;8.073.989.346.376.140;906.791.520.210.496
Cartagena;2021;9;1.890.214.588.899.420;6.546.613.460.202.560;11.645.347.065.518.800;1.066.510.369.045.290;4.357.544.527.630.470;21.134.145.646.174.700;7.612.669.305.762.860;11.926.012.779.090.500
Cartagena;2018;9;3.673.395.108.019.860;8.844.346.913.014.170;3.759.401.802.992.120;13.021.521.398.507.900;3.045.336.719.756.990;274.068.533.340.298;9.482.648.621.664.360;13.519.230.083.297.600
Cartagena;2020;5;34.553.502.674.953.900;6.740.418.341.590.610;32.240.022.550.000.100;3.431.403.276.034.190;24.675.369.564.839.400;17.944.720.379.842.900;6.671.513.024.262.070;16.594.553.370.018.000
Cali;2016;3;3.982.376.810.559.130;9.047.404.673.180.190;23.828.109.659.354.600;791.768.632.269.584;9.117.281.025.596.120;18.199.560.361.280.000;9.065.676.150.262.380;12.956.620.288.047.900
Santa Marta;2021;3;3.674.762.078.713.800;10.075.709.902.652.900;5.0;10.047.631.886.099.000;19.548.677.392.023.100;2.566.970.472.225.900;693.303.168.800.228;646.820.814.855.313
Barranquilla;2016;12;4.069.549.516.125.660;8.709.889.302.112.290;3.453.594.950.662.510;11.169.574.581.866.900;3.795.304.149.305.050;14.880.430.796.764.700;7.208.761.132.989.080;9.187.096.499.337.400
Cúcuta;2024;3;30.327.992.076.511.900;8.068.937.070.137.020;19.078.336.700.166.200;8.606.981.483.875.820;26.374.435.378.551.500;25.303.155.615.132.400;7.421.426.873.286.990;13.453.589.981.752.400
Santa Marta;2022;6;3.587.913.376.057.680;7.653.664.418.967.040;2.846.165.821.054.780;413.855.923.797.664;345.098.439.088.613;19.551.827.103.765.100;100.0;8.753.838.565.525.850
Cúcuta;2022;4;1.658.257.150.914.510;873.071.741.810.014;25.683.938.606.366.600;9.729.963.990.403.700;563.669.818.383.196;24.050.003.077.602.100;5.140.764.103.558.610;7.579.572.419.339.540
Medellín;2015;8;30.201.390.829.956.200;717.872.147.719.248;40.383.949.844.382.700;17.387.821.652.951.000;3.544.217.818.916.840;15.896.327.164.721.800;7.742.612.768.246.300;7.478.984.440.114.430
Pereira;2022;11;5.586.250.322.264.960;8.969.139.691.914.390;23.746.330.140.024.900;8.836.792.816.589.270;4.315.777.868.639.140;27.925.381.332.791.800;7.063.347.155.885.840;18.430.142.304.651.700
Pereira;2016;11;3.978.212.509.442.380;8.228.211.610.579.360;2.484.886.409.914.050;7.793.131.931.515.350;869.090.052.232.496;15.913.806.750.552.200;6.957.197.258.237.540;8.488.065.010.442.970
Manizales;2020;11;3.468.618.443.925.380;6.280.319.078.439.220;407.861.539.047.863;9.328.671.632.802.890;34.458.766.876.281.500;2.562.475.176.773.320;7.874.516.138.905.430;15.711.593.076.438.200
Pereira;2015;5;63.441.849.143.815.200;8.791.701.760.205.610;18.417.777.562.498.100;7.203.390.112.621.580;46.122.415.843.301.500;16.122.688.081.120.000;8.659.001.606.953.380;8.903.438.409.719.950
Cali;2019;1;14.587.475.325.483.800;7.182.960.011.955.130;3.314.322.851.407.770;24.615.958.092.189.900;5.016.103.979.207.350;3.104.150.435.544.530;7.797.448.129.872.830;16.603.080.921.244.500
Bucaramanga;2021;9;18.358.166.668.306.700;6.787.735.984.775.360;2.301.384.277.121.530;8.168.283.397.052.430;23.958.011.149.704.400;21.643.091.090.724.300;8.852.807.051.494.050;176.283.963.345.831
Bogotá;2024;1;6.069.067.116.914.400;6.047.601.679.202.020;14.974.580.379.950.700;14.654.100.625.186.500;393.591.641.353.384;3.175.428.547.498.490;662.355.821.105.619;10.233.482.084.532.800
Manizales;2015;6;3.568.941.404.073.400;7.332.037.695.749.140;25.011.609.867.208.700;16.307.304.019.944.000;47.157.477.840.064.900;17.905.562.562.946.700;6.927.171.671.963.450;10.385.510.992.172.300
Bogotá;2016;1;31.361.254.455.653.000;8.992.925.230.825.960;31.917.051.136.079.800;22.196.671.393.596.300;34.816.576.689.364.500;19.786.746.519.756.000;54.986.932.713.868.200;14.902.373.091.657.400
Cúcuta;2021;3;1.701.193.512.356.530;8.777.880.011.186.070;38.537.098.399.765.100;1.845.825.204.198.830;4.542.093.106.796.170;28.053.596.018.660.800;9.974.358.535.137.300;939.795.232.083.687
Bogotá;2020;10;4.171.544.399.592.510;7.706.787.594.917.910;3.974.693.985.345.680;4.015.310.366.659.470;29.569.660.159.940.300;1.486.901.989.112.440;6.719.931.296.385.160;11.841.135.326.096.900
Bogotá;2017;5;4.316.689.804.291.190;819.928.728.145.007;22.052.359.257.744.600;7.957.811.993.636.700;3.473.176.972.524.950;1.850.366.672.065.020;6.554.177.685.197.200;13.358.360.262.444.400
Manizales;2024;10;18.582.584.587.476.500;9.543.393.583.045.110;15.127.507.679.677.800;9.886.071.825.811.110;2.254.068.928.245.350;2.447.534.214.844.660;7.909.994.085.440.290;56.962.551.922.499.300
Medellín;2016;7;3.289.586.621.674.350;6.700.067.417.658.270;21.812.611.004.225.200;9.572.200.828.831.500;28.024.798.107.914.800;16.906.097.116.518.300;8.660.619.191.084.560;16.147.069.315.134.800
Cartagena;2024;10;2.996.726.251.950.400;4.769.159.992.939.580;13.184.692.466.698.400;10.347.666.649.481.100;3.520.459.403.851.630;24.609.087.110.095.200;5.961.878.153.323.030;6.481.246.058.071.510
Pereira;2018;8;38.839.657.196.281.500;9.602.259.704.357.140;2.282.613.800.583.490;22.037.957.107.737.700;2.164.056.809.945.070;2.285.202.192.510.850;878.003.121.584.195;7.464.833.458.884.050
Pereira;2017;12;18.211.246.366.690.300;5.940.443.495.938.560;21.583.347.163.802.400;4.589.742.271.038.010;2.731.696.352.231.090;14.431.771.881.289.000;654.504.726.670.094;10.399.289.201.093.500
Cali;2021;9;5.377.921.181.769.730;5.619.323.753.312.190;3.227.490.204.156.760;6.432.344.318.928.500;39.130.484.171.361.600;26.838.843.939.917.300;9.145.929.331.341.150;13.758.405.498.876.900
Manizales;2022;6;4.873.735.672.396.400;34.076.044.893.308.900;5.0;18.219.129.650.445.400;546.306.903.981.132;15.687.834.534.027.100;6.188.636.494.474.660;12.709.619.814.946.700
Cali;2016;11;29.552.366.619.007.700;8.142.566.106.328.590;17.663.920.539.133.600;6.920.093.284.575.730;5.406.738.100.217.110;25.856.395.484.864.600;810.317.098.709.259;9.802.401.281.587.180
Bucaramanga;2024;9;3.175.371.932.542.440;3.757.094.750.895.550;17.744.816.955.580.800;11.967.903.251.678.500;53.718.920.007.883.400;22.642.376.991.221.400;7.064.064.729.871.690;11.136.679.163.960.000
Bucaramanga;2021;8;3.295.366.774.583.570;5.499.482.384.616.520;36.871.272.524.080.200;15.173.286.849.341.000;2.688.153.882.692.670;1.972.493.767.647.120;5.310.433.234.457.580;1.429.315.894.244.910
Cali;2022;9;2.332.537.170.490.240;8.176.473.589.030.110;1.386.155.622.598.980;12.432.495.083.660.100;4.157.879.842.832.860;1.647.298.737.519.550;48.760.533.210.502.600;10.033.573.709.810.700
Manizales;2020;10;28.348.558.726.474.400;8.443.842.504.816.740;27.266.573.596.489.900;10.958.828.165.512.400;43.933.112.399.900.800;2.364.634.662.704.070;5.885.570.709.066.080;6.751.778.531.813.550
Cali;2020;4;30.945.944.484.880.800;5.696.591.703.563.530;23.718.715.855.802.100;1.469.305.384.846.990;4.877.396.128.728.650;17.637.376.032.612.300;8.488.835.337.870.740;758.828.864.392.661
Pereira;2024;9;5.919.302.556.060.690;6.731.693.346.015.180;3.543.042.526.836.380;5.534.657.217.475.140;2.126.445.762.324.250;28.039.767.380.262.800;40.852.672.063.507.100;1.363.712.263.170.280
Santa Marta;2015;7;4.919.927.462.495.650;5.254.810.947.187.690;3.095.831.864.510.540;7.518.184.352.519.990;2.729.674.430.258.640;28.222.253.046.516.900;7.500.918.959.838.870;6.755.052.566.678.110
Barranquilla;2018;5;4.901.982.061.004.930;5.903.206.424.377.630;26.212.437.318.203.700;12.678.187.942.325.800;29.356.846.812.565.100;30.210.170.104.929.900;7.370.335.783.770.970;37.286.252.042.347.900
Bogotá;2015;5;4.054.888.419.506.580;7.532.430.520.305.810;19.453.331.254.119.300;1.0;25.710.793.890.031.800;23.404.487.185.376.500;4.476.556.552.706.130;8.783.245.274.263.670
Barranquilla;2018;1;1.824.009.486.603.140;5.996.706.642.407.080;64.765.749.689.012.300;17.082.919.116.723.400;4.582.513.169.806.960;1.997.845.097.250.810;5.804.657.283.967.850;9.698.610.824.385.220
Manizales;2016;2;3.437.763.343.133.930;6.511.569.919.648.660;27.470.856.556.874.000;11.516.961.875.988.900;2.907.806.758.786.240;20.515.487.096.646.700;58.018.227.164.704.400;1.344.199.320.624.570
Barranquilla;2019;10;495.573.268.942.007;4.070.586.636.764.860;30.304.897.985.298.700;1.076.515.876.390.570;10.577.428.022.299.500;2.014.956.208.598.870;7.079.037.206.658.610;4.168.894.424.098.950
Bucaramanga;2024;3;16.126.030.559.490.600;9.265.912.329.612.270;9.251.323.875.253.460;18.474.356.117.947.100;22.403.834.132.234.800;23.240.027.691.645.500;9.199.503.674.106.560;11.385.887.688.488.100
Cúcuta;2023;8;44.548.298.103.098.900;8.020.133.186.342.130;12.663.058.356.714.500;356.695.437.300.131;11.059.199.679.637.400;24.183.036.277.943.000;8.612.442.890.946.730;1.460.503.601.893.350
Bogotá;2024;6;698.391.383.789.415;8.585.810.743.674.400;27.523.299.733.716.700;8.007.081.678.495.690;2.725.993.455.967.990;28.157.821.830.084.400;6.459.537.327.351.930;6.730.619.196.396.000
Cartagena;2017;12;5.092.724.968.984.590;9.580.850.649.233.720;283.914.168.620.787;14.037.149.251.477.900;3.807.059.609.481.520;22.100.617.077.980.100;5.755.873.766.029.150;10.326.574.845.280.000
Manizales;2022;10;5.621.043.703.342.980;5.349.574.248.908.560;15.093.526.899.079.400;1.0;22.146.279.932.355.700;14.983.863.347.332.200;46.624.392.515.809.300;13.976.338.289.887.100
Bogotá;2017;11;3.827.508.125.663.240;62.832.110.339.439.500;19.259.352.864.319.600;13.941.824.003.886.700;25.163.604.424.385.000;1.996.289.536.769.040;643.208.727.467.765;13.492.654.831.647.200
Barranquilla;2020;5;49.518.979.231.474.800;3.210.331.264.835.570;66.351.116.142.957.300;8.199.843.379.458.160;26.702.816.491.941.600;29.779.258.900.282.600;565.181.917.081.085;13.182.385.462.812.300
Bucaramanga;2018;1;24.232.201.784.689.400;13.280.845.820.204.400;3.877.263.903.813.230;888.288.263.629.174;31.688.909.926.022.900;1.421.710.714.763.990;6.945.778.027.441.720;9.920.088.856.211.440
Medellín;2022;12;4.693.795.718.511.830;6.700.829.369.365.240;12.001.255.926.315.400;11.267.964.708.454.000;3.619.299.334.362.620;25.695.749.802.006.900;7.002.615.794.616.200;4.690.875.319.144.620
Santa Marta;2020;11;4.481.582.201.091.140;9.077.455.799.829.820;30.422.593.912.485.500;11.346.586.189.232.000;39.687.065.135.224.400;20.047.134.432.082.700;62.866.211.013.041.400;12.667.533.032.149.400
Cartagena;2022;12;39.348.667.610.564.900;4.523.677.711.329.080;24.650.393.038.466.100;6.437.857.050.317.010;5.706.620.379.523.820;17.582.678.448.002.300;6.318.033.729.264.610;9.020.008.270.609.500
Santa Marta;2015;9;54.740.111.295.777.400;8.992.776.851.286.010;3.789.593.619.624.750;13.124.550.442.344.200;3.148.195.117.200.080;23.978.055.245.560.600;59.593.077.684.471.500;0.0
Bogotá;2020;3;2.691.822.743.228.910;1.071.518.175.329.930;17.077.459.072.252.400;1.0;3.882.951.664.775.650;2.980.476.512.811.380;6.231.280.755.184.600;13.112.849.929.486.900
Bucaramanga;2015;3;3.219.413.725.289.500;6.879.438.501.944.030;2.561.252.710.340.380;7.747.905.567.161.720;10.949.319.027.860.700;23.702.220.883.915.800;915.387.302.605.812;14.654.463.237.900.700
Bucaramanga;2015;2;3.643.193.062.037.440;49.782.370.068.207.900;8.015.730.907.626.490;1.076.840.881.588.450;25.449.804.173.213.500;20.687.278.949.793.800;777.671.206.275.443;15.357.223.135.577.500
Barranquilla;2022;4;1.955.583.543.365.890;6.722.407.198.108.920;56.147.316.306.024.600;8.275.253.423.927.620;2.675.499.727.845.510;15.519.753.801.968.100;7.797.025.413.167.070;48.919.884.648.722.800
Pereira;2021;12;3.840.397.915.700.370;25.464.769.500.855.400;3.096.333.583.865.470;1.0;17.792.221.332.154.700;21.505.754.194.486.300;8.517.914.361.989.990;23.328.240.744.423.100
Barranquilla;2017;2;9.216.043.805.692.290;6.924.226.597.956.310;7.149.741.609.302.970;13.790.136.893.802.300;2.356.808.722.358.950;15.339.250.898.552.700;8.385.283.898.802.920;8.358.459.427.154.500
Pereira;2020;9;5.070.431.801.642.310;8.641.934.278.625.990;2.271.782.465.565.460;37.580.609.393.647.300;28.710.183.388.132.400;2.045.037.889.289.880;9.137.146.587.959.350;12.071.458.111.959.900
Pereira;2023;12;3.569.956.049.848.940;6.928.484.711.252.970;351.129.544.797.292;9.662.429.962.358.550;23.944.039.510.022.300;2.168.471.175.804.190;7.882.627.164.274.810;6.228.837.087.168.730
Cartagena;2021;10;2.718.660.644.144.350;6.431.720.890.622.060;32.466.848.560.946.700;10.765.172.985.338.100;6.122.201.025.405.790;10.197.292.546.447.600;7.307.716.661.070.460;36.358.623.418.541.000
Barranquilla;2017;7;22.484.395.815.573.100;8.055.136.232.224.060;1.835.414.512.051.400;10.099.135.768.826.800;3.614.730.409.893.270;28.941.611.022.939.400;6.113.843.053.179.540;12.898.278.333.513.300
Medellín;2020;8;31.481.314.555.712.100;8.208.049.693.899.100;9.114.968.635.918.270;15.845.054.629.319.000;5.401.227.286.631.200;15.807.392.634.397.800;5.763.772.012.327.070;8.619.172.632.727.340
Cali;2018;3;4.532.389.566.158.620;3.680.188.874.989.630;30.094.948.616.555.200;9.733.687.200.031.560;47.911.814.146.008.000;21.070.203.994.146.500;8.323.385.892.594.660;1.249.035.692.374.420
Cali;2017;6;4.321.608.468.106.340;7.177.645.924.557.570;3.842.256.782.860.180;12.137.277.023.484.700;22.329.046.398.595.300;24.669.166.229.062.500;6.833.417.533.593.140;10.063.186.771.302.300
Barranquilla;2023;10;24.416.930.790.823.000;11.871.970.248.458.400;18.377.619.213.343.700;9.720.479.834.243.790;30.450.725.609.037.700;28.542.748.590.895.800;4.960.180.373.401.270;9.335.579.223.371.070
Barranquilla;2024;6;22.309.404.910.585.400;4.329.967.508.703.950;16.966.871.415.928.800;13.064.780.420.831.300;24.782.104.547.105.000;1.803.923.496.813.580;3.860.451.853.589.790;9.743.456.071.728.940
Santa Marta;2016;1;4.485.348.059.479.470;6.829.162.334.333.860;19.750.980.371.310.000;16.967.476.485.237.600;2.805.812.688.856.400;9.454.073.695.135.520;100.0;8.566.218.511.000.540
Cartagena;2015;6;24.164.788.930.774.500;10.883.492.244.103.400;30.716.087.108.071.100;1.068.770.914.736.090;18.282.795.969.735.200;27.393.318.580.056.400;5.521.095.664.493.790;816.583.031.102.485
