Ciudad;Año;Mes;Casos_Asma;Casos_Bronquitis;Casos_Neumonia;Casos_EPOC;Urgencias_Respiratorias;Hospitalizaciones;Mortalidad_Respiratoria;Edad_Promedio_Pacientes;Costo_Promedio_Paciente
Bucaramanga;2022;9;19;16;10;6;21;10;0;100.0;35.126.941.439.800.300
Medellín;2021;9;27;18;6;10;29;15;0;46.788.052.553.667.600;49.819.798.396.953.200
Pereira;2019;12;18;18;13;11;32;10;1;6.495.412.174.414.210;6.784.570.789.649.310
Bogotá;2015;9;19;13;13;8;43;17;2;1.382.257.217.774.290;5.457.621.258.752.210
Bogotá;2021;10;32;16;8;6;29;10;1;56.027.592.129.545.100;5.123.634.962.320.740
Pereira;2023;2;16;19;8;6;28;5;1;515.727.997.177.552;25.053.920.613.676.600
Cúcuta;2017;3;14;16;8;9;28;16;1;30.183.661.413.028.400;44.598.078.373.476.400
Santa Marta;2022;4;16;15;3;10;31;14;2;46.329.910.121.553.900;6.620.980.147.210.540
Cúcuta;2017;1;19;11;15;7;33;10;2;4.246.099.128.936.300;7.099.149.532.454.200
Pereira;2017;6;24;10;10;8;21;11;4;5.286.846.959.919.170;4.976.550.919.766.260
Santa Marta;2021;12;25;18;4;12;28;12;2;3.930.529.022.804.940;5.617.437.358.371.340
Pereira;2020;2;20;22;11;7;37;15;4;5.322.929.507.748.910;5.225.407.264.415.700
Barranquilla;2019;4;23;19;14;8;31;10;1;31.909.782.599.023.100;3.722.535.082.592.950
Pereira;2021;5;13;8;13;8;38;11;1;598.955.224.030.618;100000.0
Manizales;2023;4;22;16;9;8;44;11;2;1.397.957.451.793.720;42.032.796.740.667.900
Cúcuta;2015;6;18;19;12;5;27;15;4;51.483.897.861.192.600;6.348.186.971.368.780
Santa Marta;2024;10;18;7;11;8;23;14;2;27.981.284.666.958.900;37.143.805.876.057.100
Pereira;2015;10;13;22;7;7;20;11;1;6.399.098.837.736.660;14.794.753.037.330.000
Santa Marta;2019;6;11;19;6;9;25;8;3;3.627.245.533.939.700;3.294.088.331.606.940
Medellín;2022;9;15;11;10;9;31;10;3;5.700.913.620.031.170;5.893.307.696.301.770
Pereira;2021;9;18;12;6;12;33;15;3;54.088.059.138.414.500;23.893.832.337.662.000
Pereira;2021;1;14;15;12;5;30;13;1;4.135.712.588.183.990;592.075.171.629.276
Santa Marta;2017;10;19;10;15;7;27;15;1;15.178.864.023.240.800;28.992.903.640.945.200
Santa Marta;2023;8;29;13;14;12;36;10;1;5.251.770.650.868.930;806.897.846.092.978
Cúcuta;2019;5;25;16;11;9;26;6;5;30.755.412.535.535.800;3.020.524.336.223.730
Cali;2024;1;12;16;8;6;27;13;2;3.042.142.853.676.650;7.676.683.708.547.290
Pereira;2017;12;12;18;3;10;26;20;2;3.699.469.401.119.330;3.331.099.171.082.450
Pereira;2020;5;21;9;7;8;28;8;1;555.547.782.089.583;17.859.650.342.966.400
Santa Marta;2022;6;16;12;11;5;28;12;3;4.471.986.258.509.320;3.306.214.656.490.220
Barranquilla;2022;7;12;15;15;7;26;12;4;4.849.033.894.999.220;39.186.038.072.920.200
Cartagena;2018;3;16;4;12;7;28;10;0;62.687.429.619.627.900;5.793.129.249.597.880
Medellín;2018;9;17;14;10;8;29;15;0;48.627.702.505.015.100;7.118.726.268.708.130
Bucaramanga;2023;3;17;16;9;11;27;12;2;7.310.072.854.023.050;3.531.407.256.273.790
Santa Marta;2024;1;26;13;9;6;27;13;6;6.241.655.392.295.240;4.051.261.592.431.230
Cúcuta;2016;3;22;16;10;6;25;15;4;1.761.755.340.186.470;6.433.588.212.233.870
Cali;2023;7;16;16;7;3;39;13;2;2.257.325.115.048.110;3.450.870.889.045.890
Bucaramanga;2022;10;10;15;10;10;35;12;3;3.396.549.559.358.880;6.269.317.681.705.900
Pereira;2017;1;26;15;8;10;17;17;3;6.324.468.701.294.720;35.392.850.256.874.500
Medellín;2016;4;12;11;17;6;26;9;1;5.113.319.109.200.860;5.661.526.005.374.170
Santa Marta;2016;7;13;19;8;6;35;15;1;6.309.408.336.690.430;16.400.672.044.221.300
Bogotá;2015;11;15;10;10;6;27;12;3;3.124.343.430.720.900;6.508.464.190.585.730
Bucaramanga;2024;12;22;20;3;14;29;9;1;3.496.014.383.868.240;38.354.601.017.022.100
Cali;2023;3;19;19;9;6;33;10;0;15.998.120.544.253.900;47.417.874.639.804.500
Medellín;2015;7;18;10;6;6;31;8;2;5.167.638.174.196.550;6.859.727.917.622.340
Santa Marta;2016;4;19;14;13;5;34;6;2;6.895.375.342.297.930;35.846.570.721.710.600
Pereira;2021;7;20;7;9;7;30;17;2;43.259.328.999.065.700;7.864.945.418.615.790
Cúcuta;2019;9;11;13;17;7;34;13;2;3.264.020.473.208.330;6.250.816.806.895.160
Manizales;2015;10;21;16;5;4;34;9;2;6.543.438.107.114.350;7.435.631.843.944.460
Cúcuta;2018;5;19;16;12;4;40;14;1;646.332.632.426.095;6.801.818.269.498.010
Manizales;2020;3;21;13;7;10;28;9;4;5.788.643.709.751.800;4.860.153.168.737.980
Cali;2022;1;30;16;10;4;34;19;2;1.988.580.532.996.220;6.952.899.784.286.050
Bogotá;2016;3;29;14;6;8;26;5;2;48.631.151.059.213.900;33.358.294.604.827.600
Bogotá;2024;4;15;13;9;6;33;10;2;5.418.752.180.212.190;6.788.570.527.969.480
Cartagena;2017;12;15;17;8;8;31;21;0;24.411.114.534.166.800;6.235.460.670.867.210
Cúcuta;2021;2;18;15;8;3;31;14;1;3.558.881.568.386.250;4.135.134.202.807.450
Santa Marta;2015;4;18;24;13;4;35;15;2;5.666.576.570.532.490;3.409.279.190.532.650
Bucaramanga;2021;5;27;15;7;13;28;17;3;54.952.086.173.927.100;4.410.351.452.738.720
Medellín;2015;8;16;13;4;9;33;10;1;39.089.516.327.838.500;19.775.170.402.368.500
Bucaramanga;2022;11;17;17;11;7;24;16;3;17.117.085.087.099.300;9.098.269.478.220.430
Barranquilla;2020;11;24;17;9;10;25;16;3;31.828.103.905.465.000;7.977.000.721.021.610
Cúcuta;2024;12;15;17;8;6;24;13;2;14.680.530.846.812.100;50.450.679.954.025.500
Santa Marta;2021;12;16;16;8;8;30;17;2;4.940.149.164.083.350;775.277.766.792.051
Cali;2016;5;21;8;6;5;35;12;1;57.964.477.358.511.900;7.017.910.830.088.330
Manizales;2020;2;18;13;6;10;34;16;1;4.618.775.225.157.300;5.754.438.722.680.810
Santa Marta;2019;1;22;18;16;7;35;10;2;4.673.247.966.277.290;7.728.280.572.496.200
Pereira;2017;9;23;15;9;8;23;11;1;30.328.809.039.078.800;5.148.764.764.465.980
Medellín;2023;4;27;13;12;6;35;9;6;27.988.901.493.444.300;3.259.024.959.736.210
Santa Marta;2019;9;17;16;8;8;35;9;0;5.004.695.149.122.430;6.283.795.928.233.770
Manizales;2022;9;29;16;11;8;15;9;1;6.529.922.511.438.750;5.721.094.035.427.230
Cartagena;2018;1;20;17;13;7;34;7;1;5.903.470.111.019.910;6.640.814.018.989.140
Bogotá;2020;12;22;10;9;6;38;12;1;3.239.740.874.857.360;6.735.700.207.400.170
Manizales;2018;7;20;21;11;6;30;12;2;5.457.075.929.900.180;21.339.525.937.559.700
Santa Marta;2018;11;21;20;11;6;33;10;3;649.565.028.698.093;1.761.667.265.773.700
Pereira;2023;12;20;11;12;8;44;7;3;7.773.581.436.172.750;7.558.841.362.672.070
Bogotá;2019;12;23;12;7;7;29;10;1;26.381.048.789.269.000;14.057.153.652.581.000
Barranquilla;2015;6;15;19;14;10;25;13;2;6.625.151.537.490.100;4.354.208.702.956.820
Barranquilla;2021;2;23;16;8;9;35;12;1;8.858.864.205.675.340;67.839.899.212.234
Cartagena;2017;10;15;17;11;6;36;9;3;31.133.506.942.760.700;40.140.159.125.042.500
Cartagena;2017;4;14;15;9;6;25;15;2;45.570.729.132.175.000;4.202.079.975.100.670
Barranquilla;2020;5;17;18;11;9;40;3;3;3.369.454.269.358.970;4.785.100.257.533.950
Bogotá;2017;5;23;12;12;9;30;14;1;9.322.667.521.844.510;5.867.511.953.022.070
Cúcuta;2015;7;22;19;8;11;24;12;4;26.071.135.271.678.200;50.039.796.126.941.500
Cartagena;2020;10;20;11;9;8;25;11;4;15.201.350.056.455.900;3.045.165.279.415.770
Bogotá;2021;2;23;16;10;8;33;14;4;55.508.236.378.185.300;6.662.842.510.104.670
Cali;2019;3;30;17;15;7;23;13;2;5.582.541.119.653.660;34.634.184.572.432.000
Bogotá;2015;2;19;13;5;6;34;14;3;3.482.330.225.052.600;6.968.022.458.115.600
Manizales;2016;7;18;18;13;8;27;13;1;32.884.837.973.828.200;3.549.366.032.415.050
Santa Marta;2016;7;9;14;9;10;35;13;4;3.384.584.964.835.050;8.138.995.008.081.690
Santa Marta;2024;9;25;10;7;5;34;12;1;5.231.506.671.668.370;46.861.164.205.133.900
Santa Marta;2022;4;21;11;10;15;33;8;1;2.298.343.563.750.770;39.558.387.949.840.800
Manizales;2022;4;17;18;7;8;38;12;1;9.927.569.804.989.830;6.284.248.336.958.940
Bucaramanga;2022;6;21;14;8;11;34;20;3;26.606.621.255.332.600;40.761.269.283.918.100
Cúcuta;2016;12;25;11;15;10;39;7;1;26.974.843.270.801.200;4.483.267.033.013.450
Manizales;2019;3;26;11;4;7;27;12;2;4.841.195.583.271.420;3.143.739.493.042.340
Cartagena;2019;3;18;17;10;10;25;11;3;810.705.369.564.544;364.796.900.283.165
Manizales;2018;9;24;13;7;12;25;20;3;34.287.585.466.911.500;52.060.283.940.418.300
Santa Marta;2022;7;23;11;9;9;30;12;3;35.421.923.203.433.800;4.258.485.431.177.330
Barranquilla;2022;12;21;9;14;7;25;18;4;29.965.156.420.381.900;10.263.695.082.049.600
Santa Marta;2023;9;28;16;8;11;26;4;1;6.474.831.317.795.410;7.773.957.181.759.870
Cúcuta;2018;2;26;19;12;5;40;14;3;2.660.088.355.547.070;8.491.845.949.875.210
Bucaramanga;2015;4;19;6;5;6;35;13;6;2.367.507.406.255.360;5.814.451.202.799.980
Barranquilla;2023;8;12;10;8;3;32;9;3;6.101.785.070.179.360;773.464.689.303.939
Cartagena;2015;9;18;13;3;9;24;14;0;6.643.868.782.359.550;6.425.100.836.969.910
Pereira;2018;3;14;14;13;11;34;11;2;6.260.649.509.157.020;28.012.055.741.252.700
Manizales;2024;8;12;12;13;13;32;12;3;21.659.155.394.677.800;673.962.699.332.166
Bucaramanga;2015;8;19;18;8;7;32;12;1;3.690.051.223.818.690;5.715.407.194.858.330
Medellín;2017;3;30;13;13;7;40;17;1;29.340.559.957.250.500;5.157.560.127.620.270
Cali;2017;11;25;16;9;12;28;12;1;46.950.263.620.102;1.839.006.312.587.670
Bogotá;2021;8;16;12;10;7;32;10;0;4.904.514.997.412.660;4.700.546.143.907.670
Cali;2017;6;22;12;8;4;29;14;3;1.405.959.066.318.300;3.716.368.485.162.040
Medellín;2020;9;26;16;10;7;24;12;1;7.831.343.177.061.080;6.192.180.813.373.060
Santa Marta;2024;1;15;19;10;7;30;13;2;35.133.512.414.166.000;41.288.929.690.757.100
Bucaramanga;2018;9;19;16;2;11;32;8;1;46.880.998.384.313.100;28.424.230.484.317.000
Barranquilla;2020;8;22;16;20;5;37;9;1;5.462.857.069.131.980;42.447.290.921.297.700
Santa Marta;2023;12;18;11;9;4;24;9;0;28.107.889.554.088.900;42.608.121.707.629.700
Cali;2021;10;12;18;14;6;34;7;1;282.594.788.146.409;5.342.595.857.852.790
Pereira;2015;8;14;14;11;6;29;11;1;4.303.802.225.565.450;28.864.086.387.435.400
Cartagena;2022;8;10;15;9;11;29;13;0;5.685.157.917.510.600;7.545.762.992.320.470
Barranquilla;2018;10;15;17;13;5;27;12;3;2.297.864.248.498.610;32.739.211.273.783.100
Bucaramanga;2022;7;21;9;9;11;36;8;3;4.433.869.397.405.350;2.199.529.905.168.520
Barranquilla;2017;3;23;16;8;11;37;5;0;1.922.023.923.991.240;5.243.815.858.249.930
Santa Marta;2024;6;17;9;10;13;28;14;3;1.562.216.267.274.770;21.206.426.266.661.600
Santa Marta;2019;10;15;15;8;11;35;16;1;6.078.688.712.496.280;4.175.816.813.356.410
Cartagena;2017;8;14;14;6;9;35;11;3;26.007.517.415.633.900;51.382.999.429.833.000
Barranquilla;2017;8;14;14;12;6;29;12;2;3.494.701.124.779.100;3.118.157.192.299.980
Cúcuta;2017;4;18;17;12;6;35;17;4;3.958.409.414.896.380;6.877.180.104.941.620
Medellín;2018;8;17;20;16;10;31;10;2;3.897.431.129.068.840;47.698.808.242.606.700
Bogotá;2017;8;13;18;9;7;38;17;3;6.698.842.568.404.870;5.019.937.566.095.280
Manizales;2016;11;26;16;9;6;19;12;3;34.427.406.823.683.800;868.753.839.577.277
Cúcuta;2020;1;22;19;9;6;29;18;3;54.652.384.977.888.700;5.972.825.107.279.660
Cúcuta;2015;11;23;17;9;8;33;6;2;7.851.131.232.104.980;5.395.007.829.846.270
Barranquilla;2019;5;15;9;13;7;27;14;0;5.849.504.844.170.670;373.997.727.306.146
Barranquilla;2020;7;25;13;8;6;33;13;0;66.837.970.298.152.300;30.792.024.486.478.400
Bogotá;2015;8;21;16;12;9;31;11;3;3.922.617.877.800.000;31.128.889.010.209.100
Bogotá;2015;9;24;11;12;1;20;9;1;227.280.251.799.034;728.538.109.832.271
Bogotá;2021;11;22;20;13;3;39;15;2;4.905.392.178.928.750;28.219.370.145.431.200
Bucaramanga;2020;11;19;15;9;6;35;12;4;5.179.432.436.932.070;43.929.545.809.420.600
Bucaramanga;2023;12;20;8;17;11;30;12;2;3.646.158.247.274.030;3.569.761.279.519.390
Cartagena;2018;6;20;13;12;9;32;5;1;3.721.829.860.387.410;23.920.292.752.122.800
Santa Marta;2017;10;19;16;14;8;32;13;4;4.257.994.992.553.520;3.627.122.158.994.650
Santa Marta;2020;5;25;19;11;14;22;19;4;4.785.124.128.063.800;9.847.077.754.705.090
Medellín;2022;8;14;17;9;9;24;8;0;513.759.113.790.528;19.223.642.574.158.300
Bucaramanga;2019;6;18;16;7;3;34;15;1;6.133.474.408.727.520;45.270.922.522.247.800
Bogotá;2017;2;22;16;12;3;25;11;3;1.0;5.930.619.162.522.940
Cali;2017;9;24;12;14;6;29;13;1;15.492.426.280.675.100;13.913.306.723.931.900
Cartagena;2015;12;13;12;24;8;32;4;0;31.609.362.436.867.700;6.586.036.193.663.500
Santa Marta;2020;9;17;15;12;8;31;15;1;30.398.705.600.595.200;34.179.465.772.752.300
Cartagena;2024;1;24;12;14;7;33;10;3;49.085.827.233.971.200;49.737.338.612.501.500
Manizales;2021;9;21;16;7;5;25;12;2;3.627.812.654.385.770;100000.0
Cartagena;2023;5;21;16;10;8;27;7;1;38.895.635.665.169.800;7.301.667.221.611.470
Santa Marta;2020;9;24;15;10;4;27;16;3;6.601.309.729.585.880;16.920.057.962.748.300
Bucaramanga;2022;11;21;15;15;14;30;14;3;54.975.736.628.272.300;6.298.347.708.768.410
Manizales;2020;5;20;14;12;14;31;14;2;7.116.884.226.402.350;7.224.064.127.396.730
Medellín;2016;10;23;16;10;6;34;19;2;3.201.347.718.649.160;5.024.372.170.185.520
Cali;2017;6;27;11;7;7;22;14;4;4.850.269.262.062.000;34.098.592.897.785.600
Cali;2015;9;21;18;12;9;27;12;3;10.071.321.418.974.400;3.216.219.696.792.080
Bogotá;2019;7;19;16;12;6;32;10;2;854.382.412.476.649;48.893.960.558.735.600
Cúcuta;2020;12;17;16;9;6;23;11;3;4.676.548.069.774.870;531.944.509.677.519
Santa Marta;2020;4;17;14;5;5;26;14;2;41.273.528.999.716.500;8.299.622.007.611.610
Cúcuta;2016;6;16;14;16;7;27;14;0;5.875.307.562.826.340;2.847.287.169.422.530
Cúcuta;2015;8;18;18;12;5;32;6;0;37.655.468.160.474.500;100000.0
Cúcuta;2021;5;26;12;9;15;32;14;1;5.017.474.406.522.960;39.271.072.186.104.800
Pereira;2018;4;17;22;11;9;25;14;2;3.163.079.638.632.440;8.775.664.236.460.020
Cartagena;2023;7;17;17;13;10;29;8;3;8.026.451.590.268.660;4.191.301.154.396.820
Cúcuta;2022;12;20;14;15;11;21;11;1;725.116.911.449.172;46.301.697.696.000.700
Manizales;2020;3;17;18;10;8;31;10;4;6.160.283.064.310.560;5.256.020.113.483.090
Medellín;2024;4;21;19;13;6;32;13;1;40.134.599.679.497.800;3.826.395.740.930.370
Manizales;2017;7;20;7;11;6;32;14;0;5.440.765.063.970.010;4.493.702.444.502.810
Barranquilla;2022;11;23;18;7;7;27;10;3;60.348.548.326.996.700;8.949.260.765.216.060
Manizales;2024;5;19;11;7;7;37;13;1;3.339.202.258.626.930;5.723.102.625.285.110
Manizales;2015;1;18;18;10;6;25;11;2;4.346.365.403.172.070;5.225.955.048.949.600
Cali;2023;6;14;14;7;10;30;11;4;4.893.264.903.266.780;4.825.211.021.223.770
Cali;2024;9;17;11;17;8;30;13;2;30.836.082.669.483.200;7.100.537.159.704.870
Santa Marta;2023;10;15;15;5;7;29;5;2;2.860.072.148.863.820;5.844.484.241.107.440
Santa Marta;2024;3;25;18;9;11;30;16;1;668.447.115.235.227;6.433.934.224.424.810
Bucaramanga;2022;4;13;18;14;12;34;15;1;4.573.147.116.331.410;2.540.034.066.995.190
Medellín;2024;11;17;9;14;6;30;19;3;4.916.357.246.653.800;38.960.883.983.566.900
Pereira;2018;10;20;22;7;7;27;17;1;6.643.469.234.796.080;526.999.328.712.892
Pereira;2023;2;23;18;9;7;38;15;4;5.115.590.889.253.750;8.071.583.154.626.120
Barranquilla;2023;3;26;20;10;3;18;14;0;5.449.981.534.738.580;7.206.833.224.915.260
Medellín;2024;12;15;17;3;3;31;14;2;5.408.476.740.650.030;35.117.741.781.909.000
Cúcuta;2019;5;32;19;11;16;28;13;0;54.195.099.097.297.600;48.296.237.838.346.100
Cúcuta;2020;6;25;18;13;10;33;11;2;3.303.708.292.076.640;5.493.884.790.630.400
Medellín;2021;2;16;19;17;8;41;7;3;5.484.969.275.624.070;5.996.035.062.151.430
Santa Marta;2023;11;12;19;11;6;29;12;3;7.862.985.418.098.690;5.572.635.381.968.950
Barranquilla;2021;2;22;17;9;10;29;14;1;53.897.686.793.755;354.471.912.396.297
Bogotá;2015;12;20;23;7;7;27;11;0;7.374.196.838.838.730;36.093.826.932.750.400
Bucaramanga;2023;6;26;13;8;4;35;16;3;6.056.993.935.068.040;6.774.672.981.219.690
Bogotá;2020;1;19;14;12;7;30;13;3;3.734.369.450.024.850;7.351.523.866.213.820
Manizales;2016;2;19;16;11;5;26;7;2;4.557.064.366.899.240;3.200.447.079.472.180
Cúcuta;2024;12;16;15;9;11;26;10;1;6.728.580.963.025.080;39.867.578.746.955.000
Cúcuta;2023;12;20;10;9;11;27;12;2;6.566.277.868.972.610;41.746.867.420.759.400
Medellín;2015;4;27;13;9;4;24;12;1;2.093.372.811.798.000;3.829.785.075.102.070
Pereira;2019;1;18;19;6;8;40;15;7;3.765.430.560.219.160;3.660.315.961.726.180
Cali;2023;5;22;21;10;6;27;11;1;29.653.649.240.479.600;5.755.177.008.997.500
Cartagena;2015;3;20;10;11;6;28;15;1;30.606.316.715.421.900;6.029.853.052.057.300
Barranquilla;2016;10;20;15;10;10;31;11;4;2.674.546.045.174.010;26.459.675.714.679.000
Bucaramanga;2021;1;19;13;11;10;33;6;4;5.199.205.066.919.590;3.866.454.877.980.250
Manizales;2024;4;14;15;8;10;26;10;6;3.754.800.843.067.000;24.388.045.841.558.500
Cúcuta;2016;1;22;16;13;6;19;14;1;4.030.811.765.350.080;4.080.460.562.702.290
Santa Marta;2023;2;19;11;11;12;29;12;1;811.753.492.101.031;5.954.520.716.284.280
Cartagena;2023;11;16;13;12;9;39;10;3;7.311.654.027.052.870;51.634.515.384.976.000
Medellín;2024;10;19;11;9;5;24;12;2;4.686.829.537.403.150;4.645.705.143.984.470
Barranquilla;2022;7;19;9;3;4;21;7;1;58.555.409.551.315.100;73.153.610.714.742
Medellín;2016;1;16;21;8;9;22;6;4;2.831.487.132.772.630;54.047.703.686.223
Bogotá;2024;6;20;23;5;7;34;14;4;2.607.023.639.283.050;4.538.624.322.530.000
Medellín;2017;4;15;13;5;10;30;9;3;22.585.287.577.302.900;3.814.846.803.414.120
Manizales;2017;6;8;21;6;6;39;17;3;5.774.149.292.411.250;40.243.074.078.052.300
Medellín;2022;12;23;13;7;5;34;11;2;26.814.234.013.521.300;4.440.034.733.373.710
Barranquilla;2022;5;17;13;7;8;31;16;1;28.436.382.421.289.100;4.196.927.355.704.680
Cartagena;2020;11;22;12;10;3;31;12;3;6.078.015.304.311.990;7.075.203.618.103.170
Cali;2021;11;15;17;7;12;33;11;2;32.883.138.064.096.100;4.657.325.299.300.960
Barranquilla;2015;6;22;16;13;5;39;10;1;4.812.362.890.003.590;100000.0
Santa Marta;2022;5;19;22;9;9;33;10;3;5.563.342.486.523.430;3.411.574.936.389.440
Cali;2021;2;14;16;11;6;27;14;3;28.171.979.578.816.400;663.386.394.603.798
Pereira;2019;10;22;18;13;9;28;8;1;5.401.557.813.474.510;100000.0
Santa Marta;2019;4;15;8;7;7;36;15;2;3.907.573.950.095.650;47.073.931.739.758.900
Pereira;2016;7;18;10;11;9;34;8;4;49.932.188.363.497.100;7.270.538.049.721.810
Cali;2015;4;22;11;10;16;25;5;4;27.529.391.632.994.500;3.103.805.753.875.070
Cúcuta;2023;5;19;23;3;11;28;18;1;5.588.680.956.097.530;100000.0
Cúcuta;2024;2;21;10;11;7;40;9;1;24.133.144.272.963.200;13.653.803.413.401.400
Manizales;2017;3;16;15;6;4;34;13;0;6.169.873.864.877.790;45.259.459.423.227.800
Bogotá;2019;5;14;12;14;5;31;8;4;37.440.094.824.331.700;6.041.648.238.030.500
Santa Marta;2022;4;21;15;11;6;37;13;0;12.978.372.685.968.000;6.715.900.790.514.140
Cali;2021;3;13;6;9;5;33;15;1;7.729.798.748.300.310;6.349.279.142.349.930
Pereira;2021;2;24;14;14;10;25;10;1;4.375.112.116.517.370;5.262.589.644.728.130
Bucaramanga;2024;12;27;12;7;7;30;15;2;3.781.779.199.788.290;4.984.069.628.767.400
Cúcuta;2024;9;19;19;5;7;30;19;1;6.925.865.436.534.250;45.218.813.240.653.300
Santa Marta;2024;2;20;22;7;10;39;11;1;3.844.238.213.290.970;4.954.277.609.534.290
Cúcuta;2018;9;27;14;7;9;25;10;2;3.892.594.000.571.610;438.424.049.528.939
Bogotá;2024;4;17;16;8;5;36;10;3;4.885.799.736.180.420;5.087.566.970.150.440
Bucaramanga;2018;10;21;12;11;3;37;8;1;4.966.058.983.669.630;43.033.174.507.206.000
Cali;2024;9;21;19;14;4;37;10;1;5.837.079.151.143.040;3.968.104.661.039.420
Cartagena;2020;9;21;13;11;5;26;9;1;5.779.407.762.872.120;693.579.077.111.209
Bogotá;2024;10;23;8;3;7;20;10;5;771.809.261.069.888;4.455.996.847.869.880
Manizales;2018;5;23;13;10;8;42;10;1;4.290.324.511.311.780;4.321.611.445.130.360
Bucaramanga;2021;7;19;13;11;6;34;13;2;5.509.270.241.371.330;3.683.769.941.106.900
Santa Marta;2016;4;28;14;7;5;27;13;6;54.003.097.476.685.300;46.326.099.207.476.800
Cartagena;2021;12;14;17;12;4;30;10;3;4.179.580.515.297.620;540.216.315.927.046
Medellín;2017;11;19;23;12;9;26;8;2;3.339.200.915.028.630;2.811.170.194.110.420
Pereira;2022;10;18;12;13;11;36;22;3;32.736.872.779.004.800;2.847.678.576.251.650
Cartagena;2019;4;14;13;8;14;26;9;3;6.572.566.948.587.670;5.859.352.851.322.960
Medellín;2023;1;20;24;9;13;28;13;4;4.997.001.165.707.210;49.081.728.764.739.800
Barranquilla;2018;10;25;16;12;4;30;18;3;21.251.831.258.904.200;4.318.221.337.392.740
Santa Marta;2019;9;21;19;6;8;29;12;1;5.031.635.915.219.760;5.445.315.855.061.090
Pereira;2015;10;20;16;10;11;32;9;1;31.467.964.757.711.600;2.396.591.927.332.270
Pereira;2017;8;27;9;9;6;33;12;1;15.593.895.630.286.900;5.198.412.969.484.860
Cali;2018;9;26;18;13;10;39;14;2;523.418.303.631.955;46.671.469.623.746.100
Santa Marta;2023;1;20;15;12;19;31;14;1;21.790.135.759.021.900;706.999.830.835.615
Pereira;2022;2;24;15;9;12;21;8;4;50.110.211.880.039.700;5.039.571.853.033.900
Santa Marta;2016;11;26;24;11;8;36;11;4;37.659.225.681.327.100;41.722.726.193.456.000
Cúcuta;2020;8;25;14;10;16;32;12;3;5.457.034.252.581.750;6.209.547.553.098.430
Medellín;2018;8;28;3;19;11;23;13;4;6.682.000.480.756.440;50.595.517.561.908.700
Bucaramanga;2019;1;26;16;9;5;16;8;6;2.854.827.186.317.760;4.800.533.807.696.690
Cali;2024;10;15;12;6;3;31;15;2;6.392.144.076.981.310;20.765.175.915.321.000
Cartagena;2023;5;20;21;9;10;15;9;4;448.659.263.450.083;6.452.035.088.524.540
Barranquilla;2018;6;24;17;8;17;26;16;5;54.842.746.707.519.500;100000.0
Pereira;2019;5;27;12;10;11;25;10;3;26.554.046.977.961.900;566.536.330.222.859
Manizales;2021;6;14;16;8;6;35;9;2;4.574.759.477.899.150;7.765.718.567.497.710
Manizales;2021;7;17;26;14;8;33;12;4;7.285.427.530.326.460;5.595.824.954.791.580
Bogotá;2020;11;21;18;12;8;29;12;0;7.671.951.655.231.160;2.019.300.026.226.150
Bucaramanga;2017;10;17;9;8;7;20;15;3;6.812.697.178.044.790;2.972.732.590.829.220
Medellín;2015;6;20;14;6;7;40;6;2;5.019.474.566.699.370;9.535.918.944.663.450
Pereira;2023;3;20;14;10;12;31;18;2;3.538.215.186.071.280;8.103.275.238.635.120
Bucaramanga;2020;6;16;20;8;8;36;13;4;9.050.537.337.352.490;2.126.314.871.316.800
Cúcuta;2017;9;24;17;12;10;24;10;0;3.168.290.942.853.900;374.605.634.210.943
Santa Marta;2015;6;13;23;13;11;27;9;4;60.766.627.082.480.300;24.241.280.820.151.100
Bogotá;2020;6;19;11;8;6;34;16;2;18.723.126.014.344.400;47.531.429.264.980.200
Pereira;2017;5;24;11;10;9;32;13;0;3.008.160.447.215.650;8.270.446.702.483.680
Medellín;2015;11;17;14;12;7;22;10;2;1.664.142.435.025.880;97.487.644.290.722
Manizales;2019;1;17;14;9;8;31;8;1;4.303.222.315.153.500;29.117.322.506.225.200
Cali;2015;5;15;20;4;10;20;9;0;3.207.008.529.720.970;539.057.596.216.864
Manizales;2017;11;16;19;9;8;25;13;1;3.287.692.552.556.820;37.538.272.855.205.600
Bogotá;2017;1;23;13;10;6;29;16;1;672.656.637.962.368;2.816.088.164.386.380
Santa Marta;2020;8;17;8;6;7;37;19;2;38.769.158.159.738.800;6.050.706.868.895.080
Cúcuta;2018;12;19;4;10;8;37;16;1;6.172.877.777.627.040;100000.0
Bucaramanga;2022;1;28;18;7;6;31;9;1;4.559.474.910.223.390;7.421.714.416.074.850
Manizales;2017;8;18;15;10;9;30;15;3;4.649.521.423.399.220;35.040.097.707.539.200
Cúcuta;2022;4;19;12;6;10;30;13;5;3.600.831.705.822.340;3.943.408.978.856.670
Santa Marta;2021;3;25;13;7;5;31;17;3;4.859.409.305.864.760;5.649.373.538.932.350
Bogotá;2016;4;22;17;16;5;41;16;2;4.656.129.796.773.800;4.118.566.244.111.610
Pereira;2022;2;21;17;7;7;23;20;2;50.885.844.170.194.000;5.617.542.453.558.370
Manizales;2015;3;17;19;14;4;22;14;2;3.590.201.359.568.010;25.446.102.020.995.900
Medellín;2023;4;15;26;8;7;39;15;3;1.863.988.426.447.190;23.268.707.314.256.500
Bogotá;2021;9;20;16;12;7;29;18;4;5.161.538.666.424.750;4.823.848.184.160.650
Santa Marta;2020;10;21;17;18;8;25;16;3;50.669.274.420.079.400;811.670.800.417.341
